Time,Score
2015-01-01 10:43:00,"WALTON, KY"
2015-01-03 09:30:00,"DUMAS, AR"
2015-01-05 15:00:00,"HODGKINS, IL"
2015-01-05 21:25:00,"EATON, OH"
2015-01-06 08:00:00,"HODGKINS, IL"
2015-01-06 15:00:00,"MCGEHEE, AR"
2015-01-07 08:00:00,"GREEN BAY, WI"
2015-01-07 15:00:00,"EAU CLAIRE, WI"
2015-01-07 17:28:00,"COTTAGE GROVE, WI"
2015-01-09 08:00:00,"LONDON, KY"
2015-01-09 15:00:00,"BOWLING GREEN, KY"
2015-01-10 08:00:00,"DELAWARE, OH"
2015-01-10 13:29:00,"SUNBURY, OH"
2015-01-10 15:00:00,"COSHOCTON, OH"
2015-01-12 08:00:00,"ASTON, PA"
2015-01-12 15:00:00,"LANCASTER, PA"
2015-01-13 13:18:00,"PERRYSBURG, OH"
2015-01-14 08:00:00,"WEST SALEM, WI"
2015-01-14 15:00:00,"WISCONSIN RAPIDS, WI"
2015-01-15 07:25:00,"HIGHLAND, IN"
2015-01-15 07:25:00,"HIGHLAND, IN"
2015-01-15 08:00:00,"ASHTABULA, OH"
2015-01-16 15:00:00,"SAYBROOK, OH"
2015-01-19 02:25:00,"DAVENPORT, IA"
2015-01-19 08:00:00,"DES MOINES, IA"
2015-01-19 15:00:00,"FORT DODGE, IA"
2015-01-20 19:37:00,"AUSTINBURG, OH"
2015-01-21 08:00:00,"RAYMOND, NH"
2015-01-22 15:00:00,"LEWISTON, ME"
2015-01-22 21:15:00,"CASTLETON-ON-HUDSON (SCHODACK, NY"
2015-01-23 08:00:00,"BOLINGBROOK, IL"
2015-01-26 15:00:00,"RICHFIELD, OH"
2015-01-26 17:10:00,"FREMONT, IN"
2015-01-28 08:00:00,"MEMPHIS, TN"
2015-01-29 12:06:00,"MEMPHIS, TN"
2015-01-29 15:00:00,"NEWPORT, AR"
2015-01-30 08:00:00,"SHELBYVILLE, KY"
2015-01-30 15:00:00,"BOWLING GREEN, KY"
2015-01-30 17:32:00,"FRANKLIN, KY"
2015-02-01 08:00:00,"LUGOFF, SC"
2015-02-01 15:00:00,"AUGUSTA, GA"
2015-02-02 08:00:00,"CHARLOTTE, NC"
2015-02-02 15:00:00,"ROCK HILL, SC"
2015-02-02 16:34:00,"HAW RIVER, NC"
2015-02-03 08:00:00,"DELRAN, NJ"
2015-02-03 15:00:00,"ELIZABETH, NJ"
2015-02-03 18:09:00,"MILTON, PA"
2015-02-05 08:00:00,"NORTH AURORA, IL"
2015-02-09 16:38:00,"GARY, IN"
2015-02-10 15:00:00,"UNIVERSITY PARK, IL"
2015-02-11 13:54:00,"BUFFALO, NY"
2015-02-12 08:00:00,"BELLINGHAM, MA"
2015-02-12 15:00:00,"AYER, MA"
2015-02-13 08:00:00,"MEDINA, OH"
2015-02-13 09:44:00,"ERIE, PA"
2015-02-13 15:00:00,"EVANS CITY, PA"
2015-02-16 07:22:00,"MAUSTON, WI"
2015-02-16 08:00:00,"MAPLE LAKE, MN"
2015-02-16 15:00:00,"EAGAN, MN"
2015-02-17 19:25:00,"COTTAGE GROVE, WI"
2015-02-18 08:00:00,"CHICAGO, IL"
2015-02-18 15:00:00,"WEST CHICAGO, IL"
2015-02-20 08:00:00,"HAZLETON, PA"
2015-02-20 15:00:00,"LANCASTER, PA"
2015-02-20 17:28:00,"PINE GROVE, PA"
2015-02-23 08:00:00,"SOUTH BEND, IN"
2015-02-23 15:00:00,"MISHAWAKA, IN"
2015-02-23 20:22:00,"DWIGHT, IL"
2015-02-24 08:00:00,"SAINT LOUIS, MO"
2015-02-26 15:00:00,"DWIGHT, IL"
2015-02-27 08:00:00,"MEMPHIS, TN"
2015-02-27 09:00:00,"WEST MEMPHIS, AR"
2015-02-27 15:00:00,"MEMPHIS, TN"
2015-03-02 08:00:00,"MANITOWOC, WI"
2015-03-11 17:48:00,"LEBANON, IN"
2015-03-11 17:56:00,"LEBANON, IN"
2015-03-12 15:00:00,"MISHAWAKA, IN"
2015-03-13 08:00:00,"VIRGINIA BEACH, VA"
2015-03-13 15:00:00,"CHESAPEAKE, VA"
2015-03-13 23:10:00,"STAUNTON, VA"
2015-03-16 08:00:00,"UNION CITY, TN"
2015-03-16 13:35:00,"DICKSON, TN"
2015-03-16 15:00:00,"MARTIN, TN"
2015-03-17 08:00:00,"SELMA, NC"
2015-03-17 08:57:00,"KENLY, NC"
2015-03-17 15:00:00,"FAYETVILLE, NC"
2015-03-19 08:00:00,"GREEN BAY, WI"
2015-03-19 09:16:00,"DE PERE, WI"
2015-03-19 15:00:00,"COMBINED LOCKS, WI"
2015-03-19 19:59:00,"STURTEVANT, WI"
2015-03-19 22:23:00,"BOLINGBROOK, IL"
2015-03-20 08:00:00,"LANSING, MI"
2015-03-23 07:56:00,"LANSING, MI"
2015-03-23 15:00:00,"HOLLAND, OH"
2015-03-24 08:00:00,"BALTIMORE, MD"
2015-03-24 15:00:00,"BALTIMORE, MD"
2015-03-24 17:07:00,"PERRYVILLE, MD"
2015-03-25 08:00:00,"SCOTIA, NY"
2015-03-25 15:00:00,"JOHNSTOWN, NY"
2015-03-26 10:59:00,"AVON, OH"
2015-03-27 08:00:00,"MCCOOK, IL"
2015-04-29 15:00:00,"ROMEOVILLE, IL"
2015-04-29 19:52:00,"DEXTER, MI"
2015-05-01 08:00:00,"WINDSOR, VA"
2015-05-01 10:21:00,"SUFFOLK, VA"
2015-05-01 15:00:00,"CHESAPEAKE, VA"
2015-05-01 21:32:00,"HURRICANE, WV"
2015-05-04 08:00:00,"GRANITE CITY, IL"
2015-05-04 15:00:00,"WRIGHT CITY, MO"
2015-05-04 18:37:00,"OAK GROVE, MO"
2015-05-05 08:00:00,"SALINA, KS"
2015-05-05 13:04:00,"SALINA, KS"
2015-05-05 15:00:00,"SALINA, KS"
2015-05-06 19:13:00,"EARLE, AR"
2015-05-07 08:00:00,"TRUSSVILLE, AL"
2015-05-07 15:00:00,"MONTGOMERY, AL"
2015-05-08 08:00:00,"NORTON, OH"
2015-05-09 08:02:00,"JEFFERSONVILLE, OH"
2015-05-11 15:00:00,"COLUMBUS, OH"
2015-05-12 03:20:00,"PEMBROKE, NY"
2015-05-13 06:22:00,"LIVERPOOL, NY"
2015-05-13 10:00:00,"COLUMBUS, OH"
2015-05-14 14:32:00,"WALTON, KY"
2015-05-14 15:00:00,"MARYSVILLE, OH"
2015-05-15 08:00:00,"TUCKER, GA"
2015-05-15 15:00:00,"CONYERS, GA"
2015-05-15 21:47:00,"ATLANTA, GA"
2015-05-17 00:39:00,"DWIGHT, IL"
2015-05-18 08:00:00,"MORRIS, IL"
2015-05-18 15:00:00,"OTTAWA, IL"
2015-05-19 08:00:00,"OAKWOOD VILLAGE, OH"
2015-05-19 15:00:00,"BEDFORD, OH"
2015-05-20 08:00:00,"BROOKLYN, NY"
2015-05-20 15:00:00,"NEWARK, NJ"
2015-05-21 08:00:00,"TITUSVILLE, PA"
2015-05-21 15:00:00,"ASHTABULA, OH"
2015-05-22 08:00:00,"SUFFOLK, VA"
2015-05-22 15:00:00,"NEW BERN, NC"
2015-05-26 08:00:00,"DAVENPORT, FL"
2015-06-01 15:00:00,"AUBURNDALE, FL"
2015-06-02 15:00:00,"CLIFTON FORGE, VA"
2015-06-03 08:00:00,"SALEM, VA"
2015-06-04 08:00:00,"ELIZABETH, NJ"
2015-06-04 15:00:00,"WALDWICK, NJ"
2015-06-05 08:00:00,"BISCOE, NC"
2015-06-05 15:00:00,"MOORESVILLE, NC"
2015-06-08 08:00:00,"CAMILLUS, NY"
2015-06-08 15:00:00,"ROCHESTER, NY"
2015-06-10 08:00:00,"AUGUSTA, GA"
2015-06-10 15:00:00,"AUGUSTA, GA"
2015-06-11 08:00:00,"NASHVILLE, TN"
2015-06-11 15:00:00,"SMYRNA, TN"
2015-06-12 08:00:00,"YORK, PA"
2015-06-12 15:00:00,"MANHEIM, PA"
2015-06-15 08:00:00,"WAVERLY, IA"
2015-06-15 15:00:00,"CEDAR RAPIDS, IA"
2015-06-16 08:00:00,"BROWNSBURG, IN"
2015-06-17 15:00:00,"PLAINFIELD, IN"
2015-06-18 08:00:00,"POTTSVILLE, PA"
2015-06-18 15:00:00,"HOWARD, PA"
2015-06-19 08:00:00,"SYRACUSE, NY"
2015-06-19 15:00:00,"OSWEGO, NY"
2015-06-22 08:00:00,"WAVERLY, TN"
2015-06-22 12:59:00,"DICKSON, TN"
2015-06-22 15:00:00,"MADISON, TN"
2015-06-23 08:00:00,"CHARLESTON, SC"
2015-06-23 15:00:00,"SUMMERVILLE, SC"
2015-06-24 08:00:00,"MOORE HAVEN, FL"
2015-06-24 15:00:00,"LAKELAND, FL"
2015-06-25 08:00:00,"ARABI, GA"
2015-06-25 15:00:00,"ASHBURN, GA"
2015-06-26 08:00:00,"EDENTON, NC"
2015-06-27 15:00:00,"BENSON, NC"
2015-06-29 08:00:00,"CORDELE, GA"
2015-06-29 15:00:00,"FITZGERALD, GA"
2015-06-30 08:00:00,"ORLANDO, FL"
2015-07-08 15:00:00,"JACKSONVILLE, FL"
2015-07-09 08:00:00,"MONTGOMERY, AL"
2015-07-20 08:53:00,"ORMOND BEACH, FL"
2015-07-20 15:00:00,"VALDOSTA, GA"
2015-07-21 08:00:00,"LINWOOD, NC"
2015-07-21 15:00:00,"LEXINGTON, NC"
2015-07-22 08:00:00,"BLOOMFIELD, CT"
2015-07-22 15:00:00,"ELIZABETH, NJ"
2015-07-23 08:00:00,"CHARLESTON, SC"
2015-07-24 11:50:00,"BOWMAN, SC"
2015-07-24 15:00:00,"CHARLESTON, SC"
2015-07-27 08:00:00,"NOVI, MI"
2015-07-27 15:00:00,"WYANDOTTE, MI"
2015-07-28 08:00:00,"ROANOKE, VA"
2015-07-28 15:00:00,"CLIFTON FORGE, VA"
2015-07-29 08:00:00,"FLORENCE, KY"
2015-07-29 15:00:00,"LOUISVILLE, KY"
2015-07-30 08:00:00,"KENNETT, MO"
2015-07-31 15:00:00,"WEST PLAINS, MO"
2015-08-01 15:08:00,"SPARTA, KY"
2015-08-03 01:00:00,"FREDERICK, MD"
2015-08-03 01:05:00,"FREDERICK, MD"
2015-08-03 08:00:00,"EDGEWOOD, MD"
2015-08-03 15:00:00,"HAGERSTOWN, MD"
2015-08-04 08:00:00,"E TAUNTON, MA"
2015-08-04 15:00:00,"MILFORD, MA"
2015-08-05 08:00:00,"GREENSBORO, NC"
2015-08-05 15:00:00,"RIDGEWAY, VA"
2015-08-07 08:00:00,"SHEBOYGAN, WI"
2015-08-07 15:00:00,"APPLETON, WI"
2015-08-10 08:00:00,"HOUSTON, TX"
2015-08-11 15:00:00,"PASADENA, TX"
2015-08-13 00:06:00,"ATLANTA, GA"
2015-08-13 08:00:00,"WELLFORD, SC"
2015-08-15 15:00:00,"ATLANTA, GA"
2015-08-16 08:00:00,"ELK GROVE VILLAGE, IL"
2015-08-17 15:00:00,"KENOSHA, WI"
2015-08-19 08:00:00,"ORLANDO, FL"
2015-08-27 15:00:00,"DAVENPORT, FL"
2015-08-28 08:00:00,"BIRMINGHAM, AL"
2015-08-28 15:00:00,"CULLMAN, AL"
2015-08-31 08:00:00,"MILTON, DE"
2015-08-31 15:00:00,"SELBYVILLE, DE"
2015-09-01 08:00:00,"INDIANAPOLIS, IN"
2015-09-02 15:00:00,"ALEXANDRIA, IN"
2015-09-03 08:00:00,"ZEBULON, NC"
2015-09-05 15:00:00,"WILSON, NC"
2015-09-05 17:00:00,"WILLIAMSBURG, VA"
2015-09-06 15:00:00,"WINSTON SALEM, NC"
2015-09-08 08:00:00,"LASALLE, PQ"
2015-09-09 15:00:00,"PLATTSBURGH, NY"
2015-09-10 08:00:00,"GARNER, NC"
2015-09-10 15:00:00,"WINSTON SALEM, NC"
2015-09-12 08:00:00,"HILLSIDE, NJ"
2015-09-13 15:00:00,"NEW YORK, NY"
2015-09-14 08:00:00,"LITHIA SPRINGS, GA"
2015-10-21 13:55:00,"DUNCAN, SC"
2015-10-28 18:24:00,"JEFFERSONVILLE, OH"
2015-11-06 16:55:00,"GARY, IN"
2015-11-09 17:33:00,"WELLS, NV"
2015-12-10 02:18:00,"BELLEVILLE, IN"
2015-12-16 21:39:00,"SANTA NELLA, CA"
2015-12-19 13:11:00,"HESPERIA, CA"
